Title,Description,Status,Priority,Labels,Project
"Stand up local stack (docker-compose)","Bring up Postgres, Neo4j, MongoDB, Qdrant, Redis locally via the starter-kit docker-compose. Scaffold the LangGraph application skeleton. Source: starter_kit/docker-compose.yml; Runtime Environment Constraint Profile.","Backlog","High","phase-1;env-bind;infra","Phase 1 — Environment Bring-Up"
"Wire CI gate pipeline","Implement the Deployment Governance gate sequence in CI: build, contract-traceability, positive+negative tests, epistemic-invariant gate, observability, security/secret-scan, human review. Source: DEPLOYMENT_GOVERNANCE_SPECIFICATION_V1 section 4; starter_kit/ci-pipeline.yml.","Backlog","High","phase-1;env-bind;ci","Phase 1 — Environment Bring-Up"
"Bind env-profile R1-R5 + physical schema","Bind the environment-profile reclassifications (R1-R5) and physical schema to the logical data model: Attested vs Derived stores, append-only canonical tables. This is the deferred build-time step (task #121). Source: RELEASE_1_LOGICAL_DATA_MODEL_V1; RUNTIME_ENVIRONMENT_PROFILE_DL043_RECONCILIATION_001.","Backlog","High","phase-1;env-bind;data-model","Phase 1 — Environment Bring-Up"
"Provision Staging + per-env secrets","Provision Staging on Heroku (backend) and Vercel (frontend) with synthetic/anonymized data only and per-environment secrets. Production stays locked until a wave is ready and owner-approved. Source: DEPLOYMENT_GOVERNANCE_SPECIFICATION_V1 sections 3 and 7.","Backlog","Medium","phase-1;env-bind;infra","Phase 1 — Environment Bring-Up"
"Stand up observability (OTel/Grafana)","Wire OpenTelemetry to Grafana so Cognition History events and two-axis replay hooks land somewhere. Source: OBSERVABILITY_GOVERNANCE_SPECIFICATION_V1; Runtime Environment Constraint Profile.","Backlog","Medium","phase-1;env-bind;observability","Phase 1 — Environment Bring-Up"
"IC-WA-00R — Recompute & Stale Backbone (the spine — build first)","Build the recompute/stale backbone: valid recompute triggers; re-run Retain to Infer to Evaluate to Advise; APPEND a Cognition History Record per emission (never overwrite); last-known-good on failure; Outcome Drift as feature vs determinism-drift as trust failure. Owner: Act/Adapt. PR must cite IC-WA-00R; positive+negative tests + invariant gate required. Source: WAVE_A_CONTRACT_PACKAGE_00R_RECOMPUTE_STALE_BACKBONE.md.","Backlog","Urgent","wave-a;responsibility-act-adapt;contract;backbone","Wave A — Backbone"
"IC-WA-001 — Artifact Intake (Perceive)","Build integrity-gated artifact admission (no Authority step in R1): upload != canonical, provenance, idempotency, no cognition in Perceive; Promotion Candidate to Attested handoff to Retain; user-acceptance capture as a Perceive input to Wave U. PR must cite IC-WA-001. Source: WAVE_A_CONTRACT_PACKAGE_001_ARTIFACT_INTAKE.md.","Backlog","High","wave-a;responsibility-perceive;contract","Wave A — Backbone"
"IC-WA-002 — Canonical Knowledge Retention (Retain)","Build canonical retention: Attested Assertions; Cognition History Record + User Acceptance Record (append-only); Canonical = Attested; persistence != canonicalization. PR must cite IC-WA-002. Source: WAVE_A_CONTRACT_PACKAGE_002_CANONICAL_KNOWLEDGE_RETENTION.md.","Backlog","High","wave-a;responsibility-retain;contract","Wave A — Backbone"
"IC-WB-INFER — Finding (Infer)","Build Finding generation (Derived per DL-043 overlay); one producer; conflicts surfaced not resolved; traces to Object/Behavior Model. PR must cite IC-WB-INFER. Source: WAVE_B_CONTRACT_PACKAGES_UNDERSTANDING.md.","Backlog","High","wave-b;responsibility-infer;contract","Wave B — Understanding"
"IC-WB-EVAL — Issue, Confidence, Reliability, CAF, Outcome Confidence (Evaluate)","Build evaluation outputs (all Derived): confidence-as-understanding (never project health); band-semantic per Calibration Defaults; drift thresholds aligned to defaults. PR must cite IC-WB-EVAL. Source: WAVE_B_CONTRACT_PACKAGES_UNDERSTANDING.md.","Backlog","High","wave-b;responsibility-evaluate;contract","Wave B — Understanding"
"IC-WC-ADVISE — Recommendation & Clarification (Advise)","Build advisory cognition: Recommendation (+ Suggested-Action / Candidate-Improvement), Clarification Request; anchored to Finding/Issue; Resolution Paths presentation-only (no object); Advise never accepts, governs, or executes. PR must cite IC-WC-ADVISE. Source: WAVE_C_AND_U_CONTRACT_PACKAGES_ADVISORY_AND_ACCEPTANCE.md.","Backlog","Medium","wave-c;responsibility-advise;contract","Wave C — Advisory"
"IC-WU-ACCEPT — User Acceptance & Reconciliation (additive, non-governance)","Build user-acceptance recording: User Acceptance Record (user-attested, version-pinned to a Cognition History Record); plan fact (user-attested Canonical Fact); Acceptance-Impact Assessment (Derived). Not a Governance Decision; OSLO never self-accepts; append-only. PR must cite IC-WU-ACCEPT. Source: WAVE_C_AND_U_CONTRACT_PACKAGES_ADVISORY_AND_ACCEPTANCE.md (Wave U section).","Backlog","Medium","wave-u;responsibility-acceptance;contract","Wave U — User Acceptance"
"IC-WE-DISCLOSE — Disclose Surfaces (Presentation)","Build the Disclose surfaces (MRI umbrella, Finding/Recommendation Panels with RP-C1, Issue Cards, Overview, Companion via Finding, Notification/Awareness, History/Timeline, Export). Disclose presents (consumer, not producer); Render = non-cognitive service; epistemic-safety labeling (Attested/Derived + band + conflict; plan-fact as user-attested). PR must cite IC-WE-DISCLOSE. Source: WAVE_E_CONTRACT_PACKAGES_DISCLOSE_SURFACES.md.","Backlog","Medium","wave-e;responsibility-disclose;contract","Wave E — Disclose Surfaces"
